2425911,-8.2000,-1.3400,4.9200,-8.0074,-1.1425,5.2672,9.6523,-0.1250,0.1250,-0.3125,1008.98,22.49,35.59
2425951,-8.2000,-1.3800,4.9600,-8.0074,-1.1825,5.3072,9.6790,-0.1875,-0.1250,-0.3125,1008.98,22.49,35.61
2425991,-8.1400,-1.1800,4.9400,-7.9474,-0.9825,5.2872,9.5959,0.1250,-0.1875,0.2500,1008.98,22.49,35.58
2426031,-8.1500,-1.3900,4.9100,-7.9574,-1.1925,5.2572,9.6115,-0.3750,0.2500,-0.6875,1008.98,22.49,35.61
2426071,-8.2100,-1.2600,4.9800,-8.0174,-1.0625,5.3272,9.6844,0.1875,-0.3750,0.4375,1008.98,22.49,35.59
2426111,-8.1700,-1.2800,5.0600,-7.9774,-1.0825,5.4072,9.6979,-0.5000,-0.5000,-0.6250,1008.97,22.49,35.68
2426151,-8.2900,-1.4500,4.9500,-8.0974,-1.2525,5.2972,9.7569,-0.1250,0.0000,-0.0625,1008.97,22.49,35.67
2426191,-8.1300,-1.1300,4.8400,-7.9374,-0.9325,5.1872,9.5278,0.5000,0.0625,0.5625,1008.97,22.49,35.65
2426231,-8.1400,-1.3400,5.0000,-7.9474,-1.1425,5.3472,9.6467,-0.2500,0.0000,-0.6250,1008.98,22.49,35.59
2426271,-8.1500,-1.4600,5.0000,-7.9574,-1.2625,5.3472,9.6699,0.0625,0.0000,0.1875,1008.98,22.49,35.59
2426311,-8.1700,-1.1700,4.9500,-7.9774,-0.9725,5.2972,9.6252,0.1250,0.2500,0.0625,1008.98,22.49,35.62
2426351,-8.2200,-1.3900,4.9700,-8.0274,-1.1925,5.3172,9.7023,-0.3125,-0.2500,-0.6875,1008.98,22.49,35.61
2426391,-8.1000,-1.2800,4.9500,-7.9074,-1.0825,5.2972,9.5791,0.1250,-0.2500,0.3125,1008.98,22.49,35.63
2426431,-8.1300,-1.3500,5.0100,-7.9374,-1.1525,5.3572,9.6452,-0.3125,-0.3750,-0.3125,1008.99,22.49,35.54
2426471,-8.1900,-1.3200,4.9100,-7.9974,-1.1225,5.2572,9.6362,-0.1250,0.1250,-0.0625,1008.99,22.49,35.52
2426511,-8.0100,-1.2300,4.8400,-7.8174,-1.0325,5.1872,9.4385,0.3125,0.3125,0.0625,1008.98,22.49,35.60
2426551,-8.1100,-1.3200,5.0200,-7.9174,-1.1225,5.3672,9.6308,-0.1875,-0.0625,-0.2500,1008.98,22.49,35.59
2426591,-8.1900,-1.3100,5.0100,-7.9974,-1.1125,5.3572,9.6900,-0.1250,-0.1875,0.1875,1008.98,22.49,35.59
2426631,-8.0700,-1.3300,4.9700,-7.8774,-1.1325,5.3172,9.5712,-0.3125,-0.7500,-0.1250,1008.98,22.49,35.58
2426671,-8.1100,-1.3400,4.9800,-7.9174,-1.1425,5.3272,9.6109,-0.0625,0.0000,0.0625,1008.99,22.49,35.52
2426711,-8.1800,-1.2600,4.9700,-7.9874,-1.0625,5.3172,9.6540,0.0625,0.1250,-0.0625,1008.99,22.49,35.50
2426751,-8.1600,-1.3700,4.9800,-7.9674,-1.1725,5.3272,9.6557,-0.0625,-0.1875,-0.1875,1008.99,22.49,35.54
2426791,-8.1100,-1.3200,5.0400,-7.9174,-1.1225,5.3872,9.6419,-0.1250,-0.1875,0.0625,1008.99,22.49,35.51
2426831,-8.1700,-1.3500,4.9800,-7.9774,-1.1525,5.3272,9.6616,-0.1875,0.0625,-0.2500,1008.99,22.49,35.53
2426871,-8.2100,-1.4000,5.0100,-8.0174,-1.2025,5.3572,9.7172,-0.0625,-0.3125,-0.2500,1008.99,22.49,35.53
2426911,-8.1600,-1.3700,5.0200,-7.9674,-1.1725,5.3672,9.6779,-0.2500,-0.4375,-0.1250,1008.99,22.49,35.55
