#logger=serial_logger_v1.3
#saved_at=2026-02-04T17:50:40.308365
#fs_hz=25
#fs_hz_inferred=1
#segment_id=3
#segment_start_ms=2522048
#device_mode_code=5
#device_mode_tag=bus
#storage_mode_tag=bus
#mode_mismatch=0
t_ms,ax_raw,ay_raw,az_raw,ax_corr,ay_corr,az_corr,acc_mag_corr,gx,gy,gz,pressure_hpa,temp_C,alt_m
2525588,-7.6000,-1.5300,6.8700,-7.4074,-1.3325,7.2172,10.4275,1.8750,0.2500,-2.1875,994.10,8.63,160.70
2525628,-7.7500,-1.7900,7.1100,-7.5574,-1.5925,7.4572,10.7359,-0.5625,-1.3750,-2.3750,994.08,8.63,160.88
2525668,-7.2300,-2.1000,6.3800,-7.0374,-1.9025,6.7272,9.9197,2.8750,0.7500,-1.4375,994.08,8.63,160.86
2525708,-7.4900,-2.0500,6.8800,-7.2974,-1.8525,7.2272,10.4363,1.8750,-1.0000,-2.5625,994.07,8.63,160.91
2525749,-6.4000,-1.8500,7.0800,-6.2074,-1.6525,7.4272,9.8197,1.0625,-0.3125,-2.4375,994.05,8.63,161.07
2525789,-7.5100,-1.7600,7.0200,-7.3174,-1.5625,7.3672,10.5005,-0.3750,0.9375,-2.5625,994.04,8.63,161.20
2525829,-6.9300,-1.8100,6.1800,-6.7374,-1.6125,6.5272,9.5182,2.4375,2.5625,-3.3125,994.05,8.63,161.12
2525869,-6.6400,-1.5800,6.2000,-6.4474,-1.3825,6.5472,9.2923,4.0625,1.1250,-2.6875,994.04,8.63,161.19
2525909,-6.4900,-1.9000,6.5000,-6.2974,-1.7025,6.8472,9.4573,1.8125,0.5000,-3.1250,994.06,8.63,161.04
2525949,-6.4600,-1.6500,6.2100,-6.2674,-1.4525,6.5572,9.1862,4.6875,0.8750,-2.9375,994.08,8.63,160.87
2525989,-5.9000,-1.8900,6.5100,-5.7074,-1.6925,6.8572,9.0808,3.0625,0.2500,-3.6250,994.08,8.63,160.80
2526029,-6.8100,-1.5300,6.2600,-6.6174,-1.3325,6.6072,9.4457,2.4375,1.1250,-3.2500,994.09,8.63,160.72
2526069,-6.8600,-1.7200,6.0700,-6.6674,-1.5225,6.4172,9.3783,1.8750,0.0625,-3.6250,994.10,8.63,160.68
2526109,-6.9000,-2.2700,6.4800,-6.7074,-2.0725,6.8272,9.7926,2.5625,0.1250,-3.1875,994.09,8.63,160.73
2526149,-6.9400,-2.0100,6.9300,-6.7474,-1.8125,7.2772,10.0881,3.1250,-1.0000,-3.2500,994.09,8.63,160.76
2526189,-6.7900,-2.5200,6.9800,-6.5974,-2.3225,7.3272,10.1295,2.0625,-0.6250,-3.8125,994.08,8.63,160.84
2526229,-7.4000,-1.7400,7.0500,-7.2074,-1.5425,7.3972,10.4424,1.5000,0.3125,-2.8750,994.07,8.63,160.88
2526269,-7.0400,-2.4900,6.4300,-6.8474,-2.2925,6.7772,9.9032,1.9375,1.1875,-3.3125,994.07,8.63,160.91
